Name,HexCode
Alabaster,#EDEADE
Almond,#EADDCA
Amaranth,#9F2B68
Amber,#FFBF00
Apricot,#FBCEB1
Aqua,#00FFFF
Aquamarine,#7FFFD4
Army Green,#454B1B
Ash Gray,#B2BEB5
Azure,#F0FFFF
Baby Blue,#89CFF0
Beige,#F5F5DC
Bisque,#F2D2BD
Black,#000000
Blood Red,#880808
Blue,#0000FF
Blue Gray,#7393B3
Blue Green,#088F8F
Bone White,#F9F6EE
Brass,#E1C16E
Brick Red,#AA4A44
Bright Blue,#0096FF
Bright Green,#AAFF00
Bright Orange,#FFAC1C
Bright Purple,#BF40BF
Bright Red,#EE4B2B
Bright Yellow,#FFEA00
Bronze,#CD7F32
Brown,#A52A2A
Buff,#DAA06D
Burgundy,#800020
Burnt Orange,#CC5500
Burnt Sienna,#E97451
Burnt Umber,#6E260E
Butterscotch,#E3963E
Byzantium,#702963
Cadet Blue,#5F9EA0
Cadmium Green,#097969
Cadmium Orange,#F28C28
Cadmium Red,#D22B2B
Cadmium Yellow,#FDDA0D
Camel,#C19A6B
Canary Yellow,#FFFF8F
Cardinal Red,#C41E3A
Carmine,#D70040
Celadon,#AFE1AF
Cerise,#DE3163
Charcoal,#36454F
Chartreuse,#DFFF00
Cherry,#D2042D
Chestnut,#954535
Chocolate,#7B3F00
Cinnamon,#D27D2D
Citrine,#E4D00A
Claret,#811331
Cobalt Blue,#0047AB
Coffee,#6F4E37
Cognac,#834333
Copper,#B87333
Coral,#FF7F50
Coral Pink,#F88379
Cordovan,#814141
Cornflower Blue,#6495ED
Cornsilk,#FFF8DC
Cream,#FFFDD0
Crimson,#DC143C
Cyan,#00FFFF
Dark Blue,#00008B
Dark Brown,#5C4033
Dark Gray,#A9A9A9
Dark Green,#023020
Dark Orange,#8B4000
Dark Pink,#AA336A
Dark Purple,#301934
Dark Red,#8B0000
Dark Tan,#988558
Dark Yellow,#8B8000
Denim,#6F8FAF
Desert,#FAD5A5
Dusty Rose,#C9A9A6
